Dates,Abs_return1,Signals1,Abs_return3,Signals3,Abs_return5,Signals5,Abs_return7,Signals7,Abs_return10,Signals10,Abs_return15,Signals15,Abs_return20,Signals20,Abs_return25,Signals25,Abs_return30,Signals30
2000-01-03,,,,,,,,,,,,,,,,,,
2000-01-04,-0.040000000000000036,0,,,,,,,,,,,,,,,,
2000-01-05,-0.01666666666666672,0,,,,,,,,,,,,,,,,
2000-01-06,0.025423728813559254,1,-0.03200000000000003,0,,,,,,,,,,,,,,
2000-01-07,-0.024793388429752095,0,-0.01666666666666672,0,,,,,,,,,,,,,,
2000-01-10,-0.0423728813559322,0,-0.0423728813559322,0,-0.09599999999999997,0,,,,,,,,,,,,
2000-01-11,-0.026548672566371723,0,-0.09090909090909094,0,-0.08333333333333337,0,,,,,,,,,,,,
2000-01-12,0.036363636363636376,1,-0.03389830508474578,0,-0.03389830508474578,0,-0.08799999999999997,0,,,,,,,,,,
2000-01-13,0.0,1,0.008849557522123908,1,-0.05785123966942152,0,-0.050000000000000044,0,,,,,,,,,,
2000-01-14,-0.02631578947368418,0,0.009090909090909038,1,-0.05932203389830504,0,-0.05932203389830504,0,,,,,,,,,,
2000-01-18,0.04504504504504503,1,0.01754385964912286,1,0.026548672566371723,1,-0.04132231404958675,0,-0.07199999999999995,0,,,,,,,,
2000-01-19,0.01724137931034475,1,0.03508771929824572,1,0.07272727272727275,1,0.0,1,-0.01666666666666672,0,,,,,,,,
2000-01-20,0.03389830508474567,1,0.0990990990990992,1,0.07017543859649122,1,0.07964601769911495,1,0.03389830508474567,1,,,,,,,,
2000-01-21,0.016393442622950838,1,0.06896551724137923,1,0.08771929824561409,1,0.1272727272727272,1,0.024793388429751984,1,,,,,,,,
2000-01-24,-0.040322580645161255,0,0.008474576271186418,1,0.072072072072072,1,0.04385964912280693,1,0.008474576271186418,1,,,,,,,,
2000-01-25,-0.03361344537815125,0,-0.05737704918032782,0,-0.008620689655172376,0,0.00877192982456143,1,0.017699115044247815,1,-0.07999999999999996,0,,,,,,
2000-01-26,-0.008695652173912993,0,-0.08064516129032262,0,-0.03389830508474578,0,0.027027027027026973,1,0.036363636363636376,1,-0.050000000000000044,0,,,,,,
2000-01-27,-0.00877192982456143,0,-0.050420168067226934,0,-0.07377049180327866,0,-0.025862068965517238,0,-0.00877192982456143,0,-0.0423728813559322,0,,,,,,
2000-01-28,-0.008849557522123908,0,-0.02608695652173909,0,-0.09677419354838712,0,-0.05084745762711862,0,-0.01754385964912286,0,-0.07438016528925617,0,,,,,,
2000-01-31,-0.0357142857142857,0,-0.052631578947368474,0,-0.09243697478991597,0,-0.11475409836065575,0,-0.027027027027026973,0,-0.0847457627118644,0,,,,,,
2000-02-01,-0.01851851851851849,0,-0.06194690265486724,0,-0.07826086956521738,0,-0.14516129032258063,0,-0.08620689655172409,0,-0.06194690265486724,0,-0.15200000000000002,0,,,,
2000-02-02,0.028301886792452935,1,-0.0267857142857143,0,-0.04385964912280704,0,-0.08403361344537819,0,-0.07627118644067798,0,-0.009090909090909038,0,-0.09166666666666667,0,,,,
2000-02-03,0.02752293577981657,1,0.03703703703703698,1,-0.008849557522123908,0,-0.02608695652173909,0,-0.08196721311475408,0,-0.01754385964912286,0,-0.05084745762711862,0,,,,
2000-02-04,-0.044642857142857095,0,0.009433962264151052,1,-0.044642857142857095,0,-0.06140350877192979,0,-0.13709677419354838,0,-0.06140350877192979,0,-0.11570247933884292,0,,,,
2000-02-07,-0.03738317757009346,0,-0.05504587155963303,0,-0.04629629629629628,0,-0.08849557522123896,0,-0.134453781512605,0,-0.07207207207207211,0,-0.1271186440677966,0,,,,
2000-02-08,-0.06796116504854366,0,-0.1428571428571429,0,-0.09433962264150941,0,-0.1428571428571429,0,-0.16521739130434787,0,-0.1724137931034483,0,-0.1504424778761062,0,-0.23199999999999998,0,,
2000-02-09,-0.02083333333333337,0,-0.12149532710280375,0,-0.13761467889908252,0,-0.12962962962962965,0,-0.17543859649122806,0,-0.2033898305084746,0,-0.1454545454545455,0,-0.21666666666666667,0,,
2000-02-10,0.0957446808510638,1,0.0,1,-0.0803571428571429,0,-0.028301886792452824,0,-0.08849557522123896,0,-0.15573770491803274,0,-0.0964912280701754,0,-0.1271186440677966,0,,
2000-02-11,-0.009708737864077666,0,0.0625,1,-0.04672897196261683,0,-0.06422018348623848,0,-0.0892857142857143,0,-0.17741935483870963,0,-0.10526315789473684,0,-0.15702479338842978,0,,
2000-02-14,0.009803921568627416,1,0.0957446808510638,1,0.0,1,-0.0803571428571429,0,-0.04629629629629628,0,-0.134453781512605,0,-0.07207207207207211,0,-0.1271186440677966,0,,
2000-02-15,-0.009708737864077666,0,-0.009708737864077666,0,0.0625,1,-0.04672897196261683,0,-0.037735849056603765,0,-0.11304347826086958,0,-0.12068965517241381,0,-0.09734513274336287,0,-0.18400000000000005,0
2000-02-16,0.0490196078431373,1,0.0490196078431373,1,0.13829787234042556,1,0.03883495145631066,1,-0.01834862385321101,0,-0.06140350877192979,0,-0.09322033898305082,0,-0.027272727272727226,0,-0.10833333333333328,0
2000-02-17,0.03738317757009346,1,0.07766990291262132,1,0.07766990291262132,1,0.15625,1,-0.008928571428571397,0,-0.017699115044247815,0,-0.0901639344262295,0,-0.02631578947368418,0,-0.05932203389830504,0
2000-02-18,0.009009009009008917,1,0.0980392156862746,1,0.0980392156862746,1,0.1914893617021276,1,0.04672897196261672,1,0.0,1,-0.09677419354838712,0,-0.01754385964912286,0,-0.07438016528925617,0
2000-02-22,0.0,1,0.04672897196261672,1,0.08737864077669899,1,0.08737864077669899,1,0.08737864077669899,1,0.03703703703703698,1,-0.05882352941176472,0,0.009009009009008917,1,-0.05084745762711862,0
2000-02-23,0.0,1,0.009009009009008917,1,0.0980392156862746,1,0.0980392156862746,1,0.16666666666666674,1,0.05660377358490565,1,-0.02608695652173909,0,-0.03448275862068961,0,-0.008849557522123908,0
2000-02-24,-0.008928571428571397,0,-0.008928571428571397,0,0.03738317757009346,1,0.07766990291262132,1,0.18085106382978733,1,0.0183486238532109,1,-0.02631578947368418,0,-0.05932203389830504,0,0.009090909090909038,1
2000-02-25,0.0,1,-0.008928571428571397,0,0.0,1,0.08823529411764697,1,0.07766990291262132,1,-0.008928571428571397,0,-0.017699115044247815,0,-0.0901639344262295,0,-0.02631578947368418,0
2000-02-28,0.009009009009008917,1,0.0,1,0.0,1,0.04672897196261672,1,0.0980392156862746,1,0.04672897196261672,1,0.0,1,-0.09677419354838712,0,-0.01754385964912286,0
2000-02-29,-0.008928571428571397,0,0.0,1,-0.008928571428571397,0,0.0,1,0.07766990291262132,1,0.07766990291262132,1,0.02777777777777768,1,-0.0672268907563025,0,0.0,1
2000-03-01,0.0,1,0.0,1,-0.008928571428571397,0,-0.008928571428571397,0,0.08823529411764697,1,0.15625,1,0.04716981132075482,1,-0.034782608695652195,0,-0.0431034482758621,0
2000-03-02,-0.009009009009009028,0,-0.017857142857142905,0,-0.009009009009009028,0,-0.017857142857142905,0,0.028037383177569986,1,0.17021276595744683,1,0.00917431192660545,1,-0.03508771929824561,0,-0.06779661016949157,0
2000-03-03,-0.009090909090909038,0,-0.018018018018018056,0,-0.018018018018018056,0,-0.0267857142857143,0,-0.018018018018018056,0,0.058252427184465994,1,-0.0267857142857143,0,-0.03539823008849563,0,-0.10655737704918034,0
2000-03-06,0.03669724770642202,1,0.018018018018018056,1,0.008928571428571397,1,0.018018018018018056,1,0.008928571428571397,1,0.10784313725490202,1,0.05607476635514019,1,0.008928571428571397,1,-0.08870967741935487,0
2000-03-07,0.008849557522123908,1,0.036363636363636376,1,0.027027027027026973,1,0.027027027027026973,1,0.017857142857142794,1,0.10679611650485432,1,0.10679611650485432,1,0.05555555555555558,1,-0.04201680672268904,0
2000-03-08,-0.03508771929824561,0,0.00917431192660545,1,-0.009009009009009028,0,-0.017857142857142905,0,-0.017857142857142905,0,0.07843137254901955,1,0.14583333333333326,1,0.037735849056603765,1,-0.04347826086956519,0
2000-03-09,0.036363636363636376,1,0.008849557522123908,1,0.036363636363636376,1,0.027027027027026973,1,0.027027027027026973,1,0.06542056074766345,1,0.2127659574468086,1,0.04587155963302747,1,0.0,1
2000-03-10,-0.03508771929824561,0,-0.03508771929824561,0,0.00917431192660545,1,-0.009009009009009028,0,-0.009009009009009028,0,-0.009009009009009028,0,0.06796116504854366,1,-0.017857142857142905,0,-0.026548672566371723,0
2000-03-13,0.009090909090909038,1,0.009090909090909038,1,-0.017699115044247815,0,0.009090909090909038,1,-0.008928571428571397,0,-0.008928571428571397,0,0.08823529411764697,1,0.03738317757009346,1,-0.008928571428571397,0
2000-03-14,-0.027027027027026973,0,-0.052631578947368474,0,-0.052631578947368474,0,-0.00917431192660545,0,-0.027027027027026973,0,-0.0357142857142857,0,0.04854368932038833,1,0.04854368932038833,1,0.0,1
2000-03-15,-0.01851851851851849,0,-0.036363636363636376,0,-0.036363636363636376,0,-0.06194690265486724,0,-0.04504504504504503,0,-0.0535714285714286,0,0.03921568627450989,1,0.10416666666666674,1,0.0,1
2000-03-16,0.0,1,-0.04504504504504503,0,-0.07017543859649122,0,-0.07017543859649122,0,-0.036363636363636376,0,-0.04504504504504503,0,-0.009345794392523366,0,0.12765957446808507,1,-0.02752293577981646,0
2000-03-17,0.009433962264151052,1,-0.0092592592592593,0,-0.027272727272727226,0,-0.027272727272727226,0,-0.01834862385321101,0,-0.036036036036036,0,-0.036036036036036,0,0.03883495145631066,1,-0.044642857142857095,0
